file	theorem	facts
GeoTop_punctured_circle_component_closure_of_deleted_point.p	GeoTop.punctured_circle_component_closure_of_deleted_point	64
GeoTop_punctured_circle_two_points_homeomorphic_real_cut.p	GeoTop.punctured_circle_two_points_homeomorphic_real_cut	64
GeoTop_closed_segment_radial_projection_preimage_local.p	GeoTop.closed_segment_radial_projection_preimage_local	64
GeoTop_real_cut_homeomorphic_component_cover_if_split.p	GeoTop.real_cut_homeomorphic_component_cover_if_split	64
GeoTop_same_component_real_complement_singleton_iff.p	GeoTop.same_component_real_complement_singleton_iff	64
GeoTop_finite_components_real_complement_two_points.p	GeoTop.finite_components_real_complement_two_points	64
GeoTop_connected_closure_point_meets_sphere_between.p	GeoTop.connected_closure_point_meets_sphere_between	64
GeoTop_punctured_circle_component_cover_if_split.p	GeoTop.punctured_circle_component_cover_if_split	64
GeoTop_closed_segment_radial_subsegment_preimage.p	GeoTop.closed_segment_radial_subsegment_preimage	64
GeoTop_closed_segment_radial_projection_preimage.p	GeoTop.closed_segment_radial_projection_preimage	64
GeoTop_geotop_hyperplane_dim_imp_affine_aff_dim.p	GeoTop.geotop_hyperplane_dim_imp_affine_aff_dim	64
GeoTop_closed_segment_sphere_unique_from_center.p	GeoTop.closed_segment_sphere_unique_from_center	64
GeoTop_pair_polygon_circle_side_classification.p	GeoTop.pair_polygon_circle_side_classification	64
GeoTop_component_lies_in_component_of_superset.p	GeoTop.component_lies_in_component_of_superset	64
GeoTop_real_interval_delete_component_closure.p	GeoTop.real_interval_delete_component_closure	64
GeoTop_components_real_complement_singleton.p	GeoTop.components_real_complement_singleton	64
GeoTop_affine_dim_1_distinct_meet_singleton.p	GeoTop.affine_dim_1_distinct_meet_singleton	64
GeoTop_geotop_is_face_has_simplex_vertices.p	GeoTop.geotop_is_face_has_simplex_vertices	64
GeoTop_face_of_nonempty_imp_geotop_is_face.p	GeoTop.face_of_nonempty_imp_geotop_is_face	64
GeoTop_theta_middle_arc_unique_excludes_3.p	GeoTop.theta_middle_arc_unique_excludes_3	64
GeoTop_sphere_pair_subset_pair_complement.p	GeoTop.sphere_pair_subset_pair_complement	64
GeoTop_closed_segment_radial_tail_subset.p	GeoTop.closed_segment_radial_tail_subset	64
GeoTop_same_component_homeomorphism_iff.p	GeoTop.same_component_homeomorphism_iff	64
GeoTop_closed_segment_in_lines_aff_hull.p	GeoTop.closed_segment_in_lines_aff_hull	64
GeoTop_polytope_aff_dim_1_is_segment.p	GeoTop.polytope_aff_dim_1_is_segment	64
GeoTop_geotop_base_face_of_edge_cone.p	GeoTop.geotop_base_face_of_edge_cone	64
GeoTop_wpt_not_in_aff_hull_segment.p	GeoTop.wpt_not_in_aff_hull_segment	64
GeoTop_geotop_is_face_imp_face_of.p	GeoTop.geotop_is_face_imp_face_of	64
GeoTop_geotop_cone_face_of_edge.p	GeoTop.geotop_cone_face_of_edge	64
GeoTop_fan_triangulation_cover.p	GeoTop.fan_triangulation_cover	64
GeoTop_polygon_interior_open.p	GeoTop.polygon_interior_open	64
GeoTop_polygon_exterior_open.p	GeoTop.polygon_exterior_open	64
GeoTop_gt28_separated_helper.p	GeoTop.gt28_separated_helper	64
GeoTop_gt28_closures_helper.p	GeoTop.gt28_closures_helper	64
GeoTop_polygon_closed.p	GeoTop.polygon_closed	64
GeoTop_Theorem_GT_2_8_1.p	GeoTop.Theorem_GT_2_8_1	64
GeoTop_Theorem_GT_2_8_2.p	GeoTop.Theorem_GT_2_8_2	64
GeoTop_Theorem_GT_2_8_3.p	GeoTop.Theorem_GT_2_8_3	64
GeoTop_Theorem_GT_2_8_4.p	GeoTop.Theorem_GT_2_8_4	64
GeoTop_Theorem_GT_2_8_5.p	GeoTop.Theorem_GT_2_8_5	64
GeoTop_Theorem_GT_2_8_6.p	GeoTop.Theorem_GT_2_8_6	64
GeoTop_Theorem_GT_2_7_1.p	GeoTop.Theorem_GT_2_7_1	64
GeoTop_Theorem_GT_2_7_2.p	GeoTop.Theorem_GT_2_7_2	64
GeoTop_Theorem_GT_2_2.p	GeoTop.Theorem_GT_2_2	64
