file	theorem	facts
AlgTopWedgeHelpers_deformation_retract_to_singleton_imp_simply_connected.p	AlgTopWedgeHelpers.deformation_retract_to_singleton_imp_simply_connected	64
AlgTopWedgeHelpers_Theorem_74_1_polygon_quotient_compact_hausdorff.p	AlgTopWedgeHelpers.Theorem_74_1_polygon_quotient_compact_hausdorff	64
AlgTop_JCT_Base_homeomorphism_preserves_simply_connected_forward.p	AlgTop_JCT_Base.homeomorphism_preserves_simply_connected_forward	64
AlgTopCached_Corollary_70_3_simply_connected_intersection_param.p	AlgTopCached.Corollary_70_3_simply_connected_intersection_param	64
AlgIsoFixedBase_simple_closed_curve_complement_components_two.p	AlgIsoFixedBase.simple_closed_curve_complement_components_two	64
AlgIsoFixedBase_simple_closed_curve_component_path_connected.p	AlgIsoFixedBase.simple_closed_curve_component_path_connected	64
AlgTop_JCT_Base_loop_nulhomotopic_via_connected_obstruction.p	AlgTop_JCT_Base.loop_nulhomotopic_via_connected_obstruction	64
AlgIsoFixedBase_simple_closed_curve_separates_connected_set.p	AlgIsoFixedBase.simple_closed_curve_separates_connected_set	64
AlgTopWedgeHelpers_pasting_deformation_retract_to_subspace.p	AlgTopWedgeHelpers.pasting_deformation_retract_to_subspace	64
AlgTop_JCT_Base0_antipode_preserving_basepoint_nontrivial.p	AlgTop_JCT_Base0.antipode_preserving_basepoint_nontrivial	64
AlgTopWedgeHelpers_circle_minus_point_deformation_retract.p	AlgTopWedgeHelpers.circle_minus_point_deformation_retract	64
AlgTopCached8_finite_wedge_pi1_free_with_chosen_loops_arb.p	AlgTopCached8.finite_wedge_pi1_free_with_chosen_loops_arb	64
AlgIsoFixedBase_K4_nonadjacent_edges_different_components.p	AlgIsoFixedBase.K4_nonadjacent_edges_different_components	64
AlgTop_JCT_Base0_top1_continuous_preserves_path_homotopy.p	AlgTop_JCT_Base0.top1_continuous_preserves_path_homotopy	64
AlgTop_JCT_Base_homeomorphism_preserves_simply_connected.p	AlgTop_JCT_Base.homeomorphism_preserves_simply_connected	64
AlgTop_JCT_Base_S2_minus_two_points_not_simply_connected.p	AlgTop_JCT_Base.S2_minus_two_points_not_simply_connected	64
AlgTopWedgeHelpers_pasting_deformation_retracts_to_point.p	AlgTopWedgeHelpers.pasting_deformation_retracts_to_point	64
AlgTopCached5_covering_component_over_arc_path_connected.p	AlgTopCached5.covering_component_over_arc_path_connected	64
AlgTop_JCT_Base_homeomorphism_reflects_simply_connected.p	AlgTop_JCT_Base.homeomorphism_reflects_simply_connected	64
PolygonDisk_polygon_homeomorphic_to_disk_with_boundary.p	PolygonDisk.polygon_homeomorphic_to_disk_with_boundary	64
AlgTop_JCT_Base_homeomorphism_preserves_path_connected.p	AlgTop_JCT_Base.homeomorphism_preserves_path_connected	64
AlgTopChain_polygon_homeomorphic_to_disk_with_boundary.p	AlgTopChain.polygon_homeomorphic_to_disk_with_boundary	64
AlgTopCached4_covering_map_evenly_covered_neighborhood.p	AlgTopCached4.covering_map_evenly_covered_neighborhood	64
AlgTop_JCT_Base_top1_R2_minus_0_is_topology_on_strict.p	AlgTop_JCT_Base.top1_R2_minus_0_is_topology_on_strict	64
AlgTop_JCT_Base_simple_closed_curve_arc_decomposition.p	AlgTop_JCT_Base.simple_closed_curve_arc_decomposition	64
AlgTopChain_abelianization_independence_on_generators.p	AlgTopChain.abelianization_independence_on_generators	64
AlgTopCached5_Theorem_83_4_covering_of_graph_is_graph.p	AlgTopCached5.Theorem_83_4_covering_of_graph_is_graph	64
AlgTopCached_top1_fundamental_group_induced_on_is_hom.p	AlgTopCached.top1_fundamental_group_induced_on_is_hom	64
AlgTopCached_homeomorphism_preserves_simply_connected.p	AlgTopCached.homeomorphism_preserves_simply_connected	64
AlgTopCached_Lemma_52_3_simply_connected_unique_paths.p	AlgTopCached.Lemma_52_3_simply_connected_unique_paths	64
AlgTop_JCT_Base_path_in_subspace_imp_path_in_ambient.p	AlgTop_JCT_Base.path_in_subspace_imp_path_in_ambient	64
AlgTop_JCT_Base_map_into_S2_minus_point_nulhomotopic.p	AlgTop_JCT_Base.map_into_S2_minus_point_nulhomotopic	64
AlgTop_JCT_Base_S2_minus_north_pole_simply_connected.p	AlgTop_JCT_Base.S2_minus_north_pole_simply_connected	64
AlgTop_JCT_Base_R2_minus_origin_not_simply_connected.p	AlgTop_JCT_Base.R2_minus_origin_not_simply_connected	64
AlgTopCached8_word_product_commutator_concat_in_comm.p	AlgTopCached8.word_product_commutator_concat_in_comm	64
AlgTopCached5_covering_sheet_over_arc_path_connected.p	AlgTopCached5.covering_sheet_over_arc_path_connected	64
AlgTopCached_Lemma_64_1_theta_space_three_components.p	AlgTopCached.Lemma_64_1_theta_space_three_components	64
AlgTop0_simple_closed_curve_boundary_meets_component.p	AlgTop0.simple_closed_curve_boundary_meets_component	64
AlgIsoFixed_arc_endpoint_in_closure_of_complement_S2.p	AlgIsoFixed.arc_endpoint_in_closure_of_complement_S2	64
AlgTop_JCT_Base0_path_homotopic_subspace_to_ambient.p	AlgTop_JCT_Base0.path_homotopic_subspace_to_ambient	64
AlgTop_JCT_Base_path_in_subspace_is_path_in_ambient.p	AlgTop_JCT_Base.path_in_subspace_is_path_in_ambient	64
AlgTop_JCT_Base_R2_minus_point_not_simply_connected.p	AlgTop_JCT_Base.R2_minus_point_not_simply_connected	64
