file	theorem	facts
GeoTopBase0_geotop_complex_proper_subset_affine_hull_disjoint_rel_interior.p	GeoTopBase0.geotop_complex_proper_subset_affine_hull_disjoint_rel_interior	64
GeoTop_Prefix_theta_graph_unbounded_and_exterior_arc_same_pair_component.p	GeoTop_Prefix.theta_graph_unbounded_and_exterior_arc_same_pair_component	64
GeoTop_Prefix_geotop_polyhedral_theta_graph_R2_to_S2_three_components.p	GeoTop_Prefix.geotop_polyhedral_theta_graph_R2_to_S2_three_components	64
GeoTopBase_top1_continuous_map_on_real_to_normed_subspace_open_sets.p	GeoTopBase.top1_continuous_map_on_real_to_normed_subspace_open_sets	64
GeoTopBase0_geotop_affine_hull_proper_subset_disjoint_rel_interior.p	GeoTopBase0.geotop_affine_hull_proper_subset_disjoint_rel_interior	64
GeoTopBase_top1_homeomorphism_on_UNIV_R2_obtain_HOL_homeomorphism.p	GeoTopBase.top1_homeomorphism_on_UNIV_R2_obtain_HOL_homeomorphism	64
GeoTopBase0_geotop_simplicial_subdivision_from_cell_subdivision.p	GeoTopBase0.geotop_simplicial_subdivision_from_cell_subdivision	64
GeoTopBase0_geotop_complex_distinct_simplex_distinct_barycenter.p	GeoTopBase0.geotop_complex_distinct_simplex_distinct_barycenter	64
GeoTopBase0_geotop_simplicial_subdivision_imp_cell_subdivision.p	GeoTopBase0.geotop_simplicial_subdivision_imp_cell_subdivision	64
GeoTopBase_top1_homeomorphism_on_UNIV_obtain_HOL_homeomorphism.p	GeoTopBase.top1_homeomorphism_on_UNIV_obtain_HOL_homeomorphism	64
GeoTopBase_geotop_component_at_UNIV_eq_connected_component_set.p	GeoTopBase.geotop_component_at_UNIV_eq_connected_component_set	64
GeoTop_Prefix_geotop_1sphere_has_bounded_unbounded_components.p	GeoTop_Prefix.geotop_1sphere_has_bounded_unbounded_components	64
GeoTopBase0_geotop_complex_flag_barycenter_affine_independent.p	GeoTopBase0.geotop_complex_flag_barycenter_affine_independent	64
GeoTopBase_top1_homeomorphism_on_geotop_imp_HOL_homeomorphic.p	GeoTopBase.top1_homeomorphism_on_geotop_imp_HOL_homeomorphic	64
GeoTopBase_top1_continuous_map_on_UNIV_geo_imp_continuous_on.p	GeoTopBase.top1_continuous_map_on_UNIV_geo_imp_continuous_on	64
GeoTopBase_geotop_complex_connected_imp_HOL_vertex_reachable.p	GeoTopBase.geotop_complex_connected_imp_HOL_vertex_reachable	64
GeoTopBase_geotop_arc_interior_not_locally_one_sided_segment.p	GeoTopBase.geotop_arc_interior_not_locally_one_sided_segment	64
GeoTopBase_geotop_HOL_homeomorphic_imp_top1_homeomorphism_on.p	GeoTopBase.geotop_HOL_homeomorphic_imp_top1_homeomorphism_on	64
GeoTop_Prefix_theta_graph_pair_R2_to_S2_frontier_components.p	GeoTop_Prefix.theta_graph_pair_R2_to_S2_frontier_components	64
