file	theorem	proof_deps	resolved_deps	missing_deps	oracles	has_skip_proof
GeoTopBase0_geotop_complex_proper_subset_affine_hull_disjoint_rel_interior.p	GeoTopBase0.geotop_complex_proper_subset_affine_hull_disjoint_rel_interior	86	86	0	0	false
GeoTop_Prefix_theta_graph_unbounded_and_exterior_arc_same_pair_component.p	GeoTop_Prefix.theta_graph_unbounded_and_exterior_arc_same_pair_component	28	28	0	0	false
GeoTop_Prefix_geotop_polyhedral_theta_graph_R2_to_S2_three_components.p	GeoTop_Prefix.geotop_polyhedral_theta_graph_R2_to_S2_three_components	12	12	0	0	false
GeoTopBase_top1_continuous_map_on_real_to_normed_subspace_open_sets.p	GeoTopBase.top1_continuous_map_on_real_to_normed_subspace_open_sets	53	53	0	0	false
GeoTopBase0_geotop_affine_hull_proper_subset_disjoint_rel_interior.p	GeoTopBase0.geotop_affine_hull_proper_subset_disjoint_rel_interior	131	131	0	0	false
GeoTopBase_top1_homeomorphism_on_UNIV_R2_obtain_HOL_homeomorphism.p	GeoTopBase.top1_homeomorphism_on_UNIV_R2_obtain_HOL_homeomorphism	23	23	0	0	false
GeoTopBase0_geotop_simplicial_subdivision_from_cell_subdivision.p	GeoTopBase0.geotop_simplicial_subdivision_from_cell_subdivision	56	56	0	0	false
GeoTopBase0_geotop_complex_distinct_simplex_distinct_barycenter.p	GeoTopBase0.geotop_complex_distinct_simplex_distinct_barycenter	44	44	0	0	false
GeoTopBase0_geotop_simplicial_subdivision_imp_cell_subdivision.p	GeoTopBase0.geotop_simplicial_subdivision_imp_cell_subdivision	29	29	0	0	false
GeoTopBase_top1_homeomorphism_on_UNIV_obtain_HOL_homeomorphism.p	GeoTopBase.top1_homeomorphism_on_UNIV_obtain_HOL_homeomorphism	12	12	0	0	false
GeoTopBase_geotop_component_at_UNIV_eq_connected_component_set.p	GeoTopBase.geotop_component_at_UNIV_eq_connected_component_set	31	31	0	0	false
GeoTop_Prefix_geotop_1sphere_has_bounded_unbounded_components.p	GeoTop_Prefix.geotop_1sphere_has_bounded_unbounded_components	85	85	0	0	false
GeoTopBase0_geotop_complex_flag_barycenter_affine_independent.p	GeoTopBase0.geotop_complex_flag_barycenter_affine_independent	205	205	0	0	false
